_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active
196,The Russell Hill Retirement Residence - 4th Fl,262 St Clair Ave W,Retirement Home,Respiratory,COVID-19,,2024-11-18,2024-11-30,N
197,Yee Hong Centre - Scarborough Finch - 3 North & 3 South,60 Scottfield Dr,LTCH,Respiratory,COVID-19,,2024-11-15,2024-12-05,N
198,Fudger House - 3E,439 Sherbourne St,LTCH,Respiratory,Parainfluenza,,2024-11-14,2024-11-26,N
199,Fudger House - 3W,439 Sherbourne St,LTCH,Respiratory,Unable to identify,,2024-11-14,2024-11-21,N
200,Runnymede Health Centre - 3W,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,COVID-19,,2024-11-13,2024-11-27,N
201,The Heritage Nursing Home - 3rd Fl,1195 Queen St E,LTCH,Respiratory,COVID-19,,2024-11-13,2024-12-02,N
202,Carefree Lodge - Garden Level,306 Finch Ave E,LTCH,Respiratory,Enterovirus/ Rhinovirus,,2024-11-12,2024-11-25,N
203,Centre for Addiction and Mental Health - Unit GAU A,1001 Queen St W,Hospital-Psychiatric,Respiratory,COVID-19,,2024-11-12,2024-11-16,N
204,Chartwell Gibson - 3rd Fl,1925 Steeles Ave E,LTCH,Respiratory,Enterovirus/ Rhinovirus,Parainfluenza,2024-11-12,2024-12-02,N
205,Deerwood Creek Community - 3rd Fl,70 Humberline Dr,LTCH,Respiratory,COVID-19,,2024-11-12,2024-12-06,N
206,Humber Meadows - 6 North,2109 Finch Ave W,LTCH,Respiratory,Enterovirus/ Rhinovirus,,2024-11-12,2024-11-25,N
207,Sinai Health System - Hennick Bridgepoint Hospital - 8S,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,COVID-19,,2024-11-12,2024-11-22,N
208,Craiglee Nursing Home - 3 East,102 Craiglee Dr,LTCH,Respiratory,Respiratory syncytial virus,,2024-11-11,2024-11-22,N
209,Maynard Nursing Home - 1st & 2nd Fl,28 Halton St,LTCH,Respiratory,COVID-19,,2024-11-11,2024-12-06,N
210,Kennedy Lodge - Main Fl North (1st Fl),1400 Kennedy Rd,LTCH,Respiratory,Unable to identify,,2024-11-08,2024-11-22,N
211,The Briton House (North Building) - 7th Fl,720 Mount Pleasant Rd,Retirement Home,Respiratory,COVID-19,,2024-11-08,2024-11-17,N
212,UHN - Princess Margaret Hospital - 14B,610 University Ave,Hospital-Acute Care,Respiratory,Parainfluenza type 3,,2024-11-08,2024-11-15,N
213,Mon Sheong Scarborough - PH South,2030 McNicoll Ave,LTCH,Respiratory,COVID-19,,2024-11-07,2024-11-21,N
214,Mon Sheong Scarborough - PH South,2030 McNicoll Ave,LTCH,Respiratory,Parainfluenza,,2024-11-07,2024-11-20,N
215,Sunnybrook Health Sciences Centre - K3CA,2075 Bayview Ave,Hospital-Acute Care,Other,CPE Citrobacter freundii (KPC),"CPE Escherichia coli (NDM), CPE Escherichia coli (OXA-48), VRE",2024-11-07,2024-12-16,N
216,The Wexford Residence - 4th Fl,1860 Lawrence Ave E,LTCH,Respiratory,COVID-19,,2024-11-07,2024-11-18,N
217,UHN - Toronto Rehabilitation Institute - 7 South,550 University Ave,Hospital-Chronic Care,Respiratory,COVID-19,,2024-11-06,2024-11-14,N
218,Fudger House - 1E,439 Sherbourne St,LTCH,Respiratory,COVID-19,,2024-11-05,2024-11-25,N
219,Deerwood Creek Community - 2A & 2B,70 Humberline Dr,LTCH,Respiratory,COVID-19,,2024-11-04,2024-11-25,N
220,Delmanor West Village,15 Summerland Terr,Retirement Home,Respiratory,Coronavirus*,,2024-11-04,2024-11-18,N
221,Leaside Retirement Home,10 William Morgan Dr,Retirement Home,Respiratory,COVID-19,,2024-11-04,2024-11-27,N
222,Terraces Of Baycrest Retirement Residence - 2nd Fl,55 Ameer Ave,Retirement Home,Respiratory,COVID-19,,2024-11-04,2024-11-10,N
223,"The Kensington Gardens South - S3E, S3W, S4E & S4W",25 Brunswick Ave,LTCH,Respiratory,COVID-19,,2024-11-04,2024-12-09,N
224,Yee Hong Centre - Scarborough Finch - 5th Fl,60 Scottfield Dr,LTCH,Respiratory,COVID-19,,2024-11-04,2024-11-14,N
225,Isabel and Arthur Meighen Manor - 2nd Fl,155 Millwood Rd,LTCH,Respiratory,COVID-19,,2024-11-02,2024-11-14,N
226,UHN - Toronto Western Hospital - 8B Medicine,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,,2024-11-02,2024-11-13,N
227,Bendale Acres - 4th Fl,2920 Lawrence Ave E,LTCH,Respiratory,COVID-19,,2024-11-01,2024-11-19,N
228,Unity Health Toronto - Providence Healthcare - B4,3275 St Clair Ave E,Hospital-Chronic Care,Respiratory,COVID-19,,2024-11-01,2024-11-15,N
229,Villa Colombo Homes for the Aged - 2 Fidani,40 Playfair Ave,LTCH,Respiratory,Unable to identify,,2024-10-30,2024-11-12,N
230,Villa Colombo Homes for the Aged - 3 Fusco North,40 Playfair Ave,LTCH,Respiratory,Parainfluenza,,2024-10-30,2024-11-13,N
231,Mackenzie Health - RCC - Finch Site - 4 West,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,,2024-10-29,2024-11-06,N
232,"Rekai Centre - Wellesley Central Place - 3 East, 4 East & 2 West",160 Wellesley St E,LTCH,Respiratory,Coronavirus*,,2024-10-29,2024-11-18,N
233,Rockcliffe Care Community - Ground Fl,3015 Lawrence Ave E,LTCH,Respiratory,COVID-19,,2024-10-29,2024-11-13,N
234,St Clair O'Connor Nursing Home - 3rd Fl,2701 St Claire Ave E,LTCH,Respiratory,COVID-19,,2024-10-29,2024-11-13,N
235,Weston Terrace Community - 3A,2005 Lawrence Ave W,LTCH,Respiratory,Rhinovirus,,2024-10-29,2024-11-12,N
236,Fairview Nursing Home - 1st & 2nd Fl,14 Cross St,LTCH,Respiratory,Enterovirus/ Rhinovirus,,2024-10-28,2024-11-14,N
237,Glen Rouge Community,92 Island Rd,LTCH,Enteric,Unable to identify,,2024-10-28,2024-11-10,N
238,Hawthorne Place - 2nd Fl,2045 Finch Ave W,LTCH,Respiratory,COVID-19,,2024-10-28,2024-11-08,N
239,Holland Bloorview Kids Rehabilitation Hospital - 3 West SODR (North),150 Kilgour Rd,Hospital-Chronic Care,Respiratory,Rhinovirus,,2024-10-28,2024-11-02,N
240,Main Street Terrace - 2nd Fl,77 Main St,LTCH,Respiratory,COVID-19,,2024-10-28,2024-11-04,N
241,Sts. Peter And Paul Residence - 1st & 3rd Fl,221 Milner Ave,Retirement Home,Respiratory,Enterovirus/ Rhinovirus,,2024-10-28,2024-11-02,N
242,Chartwell Scarlett Heights Retirement Residence - 2nd Fl Memory Living Unit,4005 Eglinton Ave W,Retirement Home,Respiratory,COVID-19,,2024-10-25,2024-11-05,N
243,Fudger House - 2 East,439 Sherbourne St,LTCH,Respiratory,Parainfluenza,,2024-10-25,2024-11-01,N
244,Wesburn Manor - 2 South,400 The West Mall,LTCH,Respiratory,Unable to identify,,2024-10-25,2024-11-09,N
245,Baycrest Hospital - H4E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,,2024-10-24,2024-11-05,N
246,Cedarbrook Transitional Care Unit - 5th & 6th Fl,520 Markham Rd,Transitional Care,Respiratory,COVID-19,,2024-10-24,2024-11-08,N
247,Reactivation Care Centre - Church Site - Trillium Health Partners - 6B,200 Church St,Hospital-Chronic Care,Respiratory,COVID-19,,2024-10-24,2024-11-07,N
248,Rekai Centres - Wellesley Central Place - 4E & 4W,160 Wellesley St E,LTCH,Respiratory,COVID-19,,2024-10-24,2024-11-12,N
249,The Claremont - 7th Fl,305 Billiol St,Retirement Home,Respiratory,Parainfluenza,,2024-10-24,2024-11-02,N
250,The Village of Humber Heights - 2nd Fl (Emma),2245 Lawrence Ave W,Retirement Home,Respiratory,Rhinovirus,,2024-10-24,2024-11-05,N
251,Cedarbrook Lodge Retirement Residence,520 Markham Rd,Retirement Home,Respiratory,COVID-19,,2024-10-22,2024-11-08,N
252,Glen Rouge Community - Unit 4,92 Island Rd,LTCH,Respiratory,Rhinovirus,,2024-10-21,2024-10-26,N
253,St George Care Community - 2nd Fl,225 St George St,LTCH,Respiratory,Rhinovirus,,2024-10-21,2024-10-26,N
254,Tony Stacey Centre For Veterans' Care,59 Lawson Rd,LTCH,Respiratory,COVID-19,,2024-10-21,2024-11-04,N
255,UHN - Princess Margaret Hospital - 17B,610 University Ave,Hospital-Acute Care,Respiratory,COVID-19,,2024-10-21,2024-11-05,N
256,The Russell Hill Retirement Residence - 2nd & 4th Fl,262 St Clair Ave W,Retirement Home,Respiratory,Influenza A ((H1N1)pdm09),,2024-10-20,2024-11-02,N
257,Labdara Lithuanian Nursing Home - 3rd Fl,5 Resurrection Rd,LTCH,Respiratory,Enterovirus/ Rhinovirus,,2024-10-19,2024-11-07,N
258,Mon Sheong Scarborough - 3rd Fl North,2030 McNicoll Ave,LTCH,Respiratory,COVID-19,,2024-10-18,2024-11-12,N
259,North York General Hospital - Seniors' Health Centre - 4th Fl,2 Buchan Crt,LTCH,Respiratory,COVID-19,,2024-10-18,2024-10-25,N
260,Villa Colombo Homes for the Aged - 4 Fidani,40 Playfair Ave,LTCH,Respiratory,Unable to identify,,2024-10-18,2024-10-28,N
261,Castleview Wychwood Towers - 5th Fl,351 Christie St,LTCH,Respiratory,Rhinovirus,,2024-10-17,2024-10-28,N
262,UHN - Toronto Western Hospital - 4B,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,,2024-10-17,2024-10-26,N
263,Castleview Wychwood Towers - 3rd Fl,351 Christie St,LTCH,Respiratory,Unable to identify,,2024-10-16,2024-10-29,N
264,Hawthorne Place Care Centre - Maple Lane - Convalescent Unit,2045 Finch Ave W,LTCH,Respiratory,Rhinovirus,,2024-10-16,2024-10-28,N
265,McCowan Retirement Residence - 4th Fl,2881 Eglinton Ave,Retirement Home,Respiratory,COVID-19,,2024-10-16,2024-11-05,N
266,Toronto Rehabilitation Institute - Bickle Centre - South 4,130 Dunn Ave,Hospital-Chronic Care,Respiratory,COVID-19,,2024-10-16,2024-11-07,N
267,UHN - Toronto Western Hospital - 8B,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,,2024-10-16,2024-10-25,N
268,Unity Health Toronto - St. Joseph's Health Centre - 2E,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,,2024-10-16,2024-10-29,N
269,Pine Villa Transitional Care - 3rd & 4th Fl Loft,1035 Eglinton Ave W,Hospital-Chronic Care,Respiratory,Enterovirus/ Rhinovirus,,2024-10-15,2024-10-22,N
270,Rayoak Place,1340 York Mills Rd,Retirement Home,Respiratory,COVID-19,,2024-10-15,2024-10-28,N
271,Trillium Health Partners - McCall Centre For Continuing Care - 4th Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Rhinovirus,,2024-10-15,2024-10-17,N
272,Villa Colombo Homes for the Aged - 4 Fusco South,40 Playfair Ave,LTCH,Respiratory,Rhinovirus,,2024-10-15,2024-10-25,N
273,Tony Stacey Centre For Veterans' Care,59 Lawson Rd,LTCH,Respiratory,Unable to identify,,2024-10-14,2024-10-29,N
274,UHN - Toronto Western Hospital - 9A Medicine,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,,2024-10-14,2024-11-08,N
275,Downsview Long Term Care Centre - 1 North,3595 Keele St,LTCH,Respiratory,COVID-19,,2024-10-13,2024-11-18,N
276,Aspira Kensington Place Retirement Living - 4th Fl,866 Sheppard Ave W,Retirement Home,Respiratory,COVID-19,,2024-10-11,2024-11-01,N
277,Seven Oaks - 2nd Fl,9 Neilson Road,LTCH,Respiratory,COVID-19,,2024-10-11,2024-10-28,N
278,Westpark Long Term Care Centre - 2nd Fl - Hughes/Prittie,150 Emmett Ave,LTCH,Respiratory,Enterovirus/ Rhinovirus,Parainfluenza,2024-10-11,2024-10-29,N
279,Isabel and Arthur Meighen Manor - 3 East,155 Millwood Rd,LTCH,Respiratory,COVID-19,,2024-10-10,2024-10-17,N
280,"Lakeside Long Term Care - 1st, 2nd & 4th Fl",150 Dunn Ave,LTCH,Respiratory,COVID-19,,2024-10-10,2024-10-28,N
281,The Kensington Gardens (North Building) - 1E & 2E,45 Brunswick Ave,LTCH,Respiratory,Enterovirus/ Rhinovirus,,2024-10-10,2024-10-24,N
282,UHT - Providence Healthcare - A5,3276 St. Clair Ave E,Hospital-Chronic Care,Respiratory,COVID-19,,2024-10-10,2024-10-30,N
283,Castleview Wynchwood Towers - 3rd Fl,351 Christie St,LTCH,Respiratory,COVID-19,,2024-10-09,2024-11-05,N
284,"Queens Estate Retirement Residence - 2nd, 4th & 5th Fl",265 Queens Dr,Retirement Home,Respiratory,COVID-19,,2024-10-09,2024-10-18,N
285,Rockcliffe Care Community - 2nd Fl,3015 Lawrence Ave E,LTCH,Respiratory,Enterovirus/ Rhinovirus,,2024-10-09,2024-10-24,N
286,SHSC - St. John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,COVID-19,,2024-10-09,2024-10-18,N
287,Unity Health Toronto - St. Michael's Hospital - 7CCV North,30 Bond St,Hospital-Acute Care,Respiratory,COVID-19,,2024-10-09,2024-10-16,N
288,Lakeshore Lodge - 4th Fl,3197 Lakeshore Blvd,LTCH,Respiratory,Rhinovirus,,2024-10-08,2024-10-16,N
289,UHN - RCC - Trillium Health Partners - 3W IP Rehab,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,COVID-19,,2024-10-08,2024-10-16,N
290,Centre For Addiction And Mental Health - Unit 1-3,1001 Queen St W,Hospital-Psychiatric,Respiratory,Unable to identify,,2024-10-07,2024-10-16,N
291,Cummer Lodge - 2 North,205 Cummer Ave,LTCH,Respiratory,Coronavirus*,,2024-10-07,2024-10-12,N
292,Labdara Lithuanian Nursing Home - 2nd Fl,5 Resurrection Rd,LTCH,Respiratory,Coronavirus*,,2024-10-07,2024-11-11,N
293,Rockcliffe Care Community - 2nd Fl,3015 Lawrence Ave E,LTCH,Respiratory,COVID-19,,2024-10-07,2024-10-24,N
294,Villa Colombo Homes For The Aged - 3 Fusco North,40 Playfair Ave,LTCH,Respiratory,Rhinovirus,,2024-10-07,2024-10-12,N
295,RCC Church Site - Sunnybrook Health Sciences Centre - A3N,200 Church St,Hospital-Chronic Care,Respiratory,COVID-19,,2024-10-06,2024-10-11,N
296,The Kensington Gardens (South Building) - 2W,25 Brunswick Ave,LTCH,Respiratory,Enterovirus/ Rhinovirus,,2024-10-06,2024-10-15,N
297,Valleyview Residence - 2W,541 Finch Ave W,LTCH,Respiratory,COVID-19,,2024-10-06,2024-10-21,N
298,"Donway Place - 1st, 2nd & 4th Fl",8 The Donway E,Retirement Home,Respiratory,COVID-19,,2024-10-04,2024-10-18,N
299,Leaside Retirement Residence - Building 10 - 3rd Fl,10 William Morgan Dr,Retirement Home,Respiratory,COVID-19,,2024-10-04,2024-10-11,N
300,St. Clair O'Connor Community - 3rd Fl,2701 St. Clair Ave E,LTCH,Respiratory,Rhinovirus,,2024-10-04,2024-10-15,N
301,The O'Neill Centre - 4th Fl,33 Christie St,LTCH,Respiratory,Enterovirus,,2024-10-04,2024-10-12,N
302,Trillium Health Partner - McCall Centre For Continuing Care - 2nd Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Rhinovirus,,2024-10-04,2024-10-10,N
303,Labdara Lithuanian Nursing Home - 2nd Fl,5 Resurrection Rd,LTCH,Respiratory,Enterovirus/ Rhinovirus,,2024-10-03,2024-10-19,N
304,Cummer Lodge - 2 North,205 Cummer Ave,LTCH,Respiratory,COVID-19,,2024-10-02,2024-10-10,N
305,Fieldstone Commons Care Community - 1st Fl,1000 Ellesmere Rd,LTCH,Respiratory,COVID-19,,2024-10-02,2024-10-18,N
306,Sherbourne Place - 2nd Fl,345 Sherbourne St,LTCH,Respiratory,Rhinovirus,,2024-10-02,2024-10-15,N
307,The Annex - 1st & 3rd Fl,123 Spadina Rd,Retirement Home,Respiratory,COVID-19,,2024-10-02,2024-10-08,N
308,Forestview Retirement Residence - 2nd Fl,537 Finch Ave W,Retirement Home,Respiratory,COVID-19,,2024-10-01,2024-10-16,N
309,Humber Meadows - 3 North,2109 Finch Ave W,LTCH,Respiratory,COVID-19,,2024-10-01,2024-10-11,N
310,Main Street Terrace - 3rd Fl,77 Main St,LTCH,Respiratory,Enterovirus,,2024-10-01,2024-10-15,N
311,Midland Gardens Care Community - 2nd Fl,130 Midland Ave,LTCH,Respiratory,Rhinovirus,,2024-09-30,2024-10-15,N
312,The Teddington Retirement Residence - 2nd & 3rd Fl,4 Teddington Park Ave,Retirement Home,Respiratory,Rhinovirus,,2024-09-30,2024-10-09,N
313,Unity Health Toronto - Providence Healthcare Centre - B5,3276 St. Clair Ave E,Hospital-Chronic Care,Respiratory,COVID-19,,2024-09-30,2024-10-07,N
314,Bendale Acres - 2 BSU,2920 Lawrence Ave W,LTCH,Respiratory,COVID-19,,2024-09-27,2024-10-09,N
315,Chartwell Scarlett Heights - 6th Fl,4005 Eglinton Ave W,Retirement Home,Respiratory,Influenza A (Not subtyped),,2024-09-27,2024-10-04,N
316,Seven Oaks - 3rd Fl,9 Neilson Rd,LTCH,Respiratory,Enterovirus/ Rhinovirus,Parainfluenza,2024-09-27,2024-10-04,N
317,WOHS - Etobicoke General Hosptial - 6W,101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,,2024-09-27,2024-10-04,N
318,Baycrest Apotex Centre - Jewish Home for the Aged - 7GS,3560 Bathurst St,LTCH,Respiratory,COVID-19,,2024-09-25,2024-10-02,N
319,Maynard Nursing Home - 2nd Fl,28 Halton St,LTCH,Respiratory,COVID-19,,2024-09-25,2024-10-08,N
320,Rockcliffe Care Community - Ground Fl,3015 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,,2024-09-25,2024-10-09,N
321,Extendicare Guildwood - West Spur 2 & East Spur 3,60 Guildwood Parkway,LTCH,Respiratory,Unable to identify,,2024-09-24,2024-10-07,N
322,Nisbet Lodge - 11th Fl,740 Pape Ave,LTCH,Respiratory,COVID-19,,2024-09-24,2024-10-01,N
323,Norfinch Care Community - 2A,22 Norfinch Dr,LTCH,Respiratory,Rhinovirus,,2024-09-24,2024-10-07,N
324,Extendicare Guildwood,60 Guildwood Pky,LTCH,Respiratory,COVID-19,,2024-09-23,2024-10-11,N
325,Harold & Grace Baker Centre - A Wing,1 Northwestern Ave,LTCH,Respiratory,Parainfluenza,,2024-09-23,2024-10-16,N
326,Humber Meadows - 6 South,2109 Finch Ave W,LTCH,Respiratory,Rhinovirus,,2024-09-23,2024-10-04,N
327,Midland Gardens Care Community - 3rd Fl,130 Midland Ave,LTCH,Respiratory,Enterovirus,,2024-09-23,2024-10-03,N
328,TEHN - Michael Garron Hospital - B3,825 Coxwell Ave,Hospital-Acute Care,Respiratory,COVID-19,,2024-09-23,2024-09-27,N
329,The Heritage Nursing Home - 1st Fl,1195 Queen St E,LTCH,Respiratory,Rhinovirus,,2024-09-23,2024-10-02,N
330,Kensington Gardens (North Building) - 3 West,45 Brunswick Ave,LTCH,Respiratory,Rhinovirus,,2024-09-22,2024-09-30,N
331,Mon Sheong Scarborough - 3 South,2030 McNicoll Ave,LTCH,Respiratory,COVID-19,,2024-09-22,2024-10-05,N
332,Weston Terrace - 2A,2005 Lawrence Ave W,LTCH,Respiratory,COVID-19,,2024-09-22,2024-09-27,N
333,Sinai Health System - Mount Sinai Hospital - 10N,600 University Ave,Hospital-Acute Care,Respiratory,COVID-19,,2024-09-20,2024-09-27,N
334,Unity Health Toronto - St. Joseph's Health Centre - 2LM,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,,2024-09-20,2024-09-30,N
335,Unity Health Toronto - St. Joseph's Health Centre - 4LM,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,,2024-09-20,2024-10-01,N
336,Villa Colombo Homes For The Aged - 2 Fusco West & 3 Fusco,40 Playfair Ave,LTCH,Respiratory,COVID-19,,2024-09-20,2024-10-08,N
337,Lakeshore Lodge - 3rd Fl,3197 Lakeshore Blvd W,LTCH,Respiratory,COVID-19,,2024-09-19,2024-10-09,N
338,SHSC - St. John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,COVID-19,,2024-09-18,2024-09-25,N
339,Unity Health Toronto - Providence Healthcare - A3,3276 St. Clair Ave E,Hospital-Chronic Care,Respiratory,COVID-19,,2024-09-18,2024-09-25,N
340,Shepherd Lodge - 4 South & 4 North,3760 Sheppard Ave E,LTCH,Respiratory,COVID-19,,2024-09-17,2024-09-30,N
341,Sts. Peter and Paul Residence,221 Milner Ave,Retirement Home,Respiratory,COVID-19,,2024-09-17,2024-10-02,N
342,UHN - Trillium Health Partners - RCC - 3W,82 Buttowood Ave,Hospital-Chronic Care,Respiratory,COVID-19,,2024-09-17,2024-09-26,N
343,McCall Centre for Continuing Care - 3rd Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,COVID-19,,2024-09-16,2024-10-10,N
344,Southlake Regional Health Centre - RCC Finch Site - 5 West,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,,2024-09-16,2024-09-24,N
345,Village of Humber Heights - Williamsburg East Neighbourhood,2245 Lawrence Ave W,Retirement Home,Respiratory,COVID-19,,2024-09-16,2024-09-23,N
346,Weston Terrace Care Community - 1A,2005 Lawrence Ave W,LTCH,Respiratory,Rhinovirus,,2024-09-16,2024-09-25,N
347,William Osler Health System - Etobicoke General - 7E,101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,,2024-09-16,2024-09-27,N
348,Harmony Hills Care Community - 3A,1800 O'Connor Dr,LTCH,Respiratory,COVID-19,,2024-09-15,2024-10-01,N
349,Holland Bloorview Kids Rehabilitation Hospital - 3W SODR Unit (North),150 Kilgour Rd,Hospital-Chronic Care,Respiratory,COVID-19,,2024-09-15,2024-09-21,N
350,North York General Hospital - General Site - 3W,4001 Leslie St,Hospital-Acute Care,Respiratory,COVID-19,,2024-09-14,2024-09-21,N
351,Better Living at Thompson House - 4th Fl,1 Overlea Dr,LTCH,Respiratory,COVID-19,,2024-09-13,2024-10-01,N
352,Isabel and Arthur Meighen Manor - 2W Coombs & 2E Davis,155 Millwood Rd,LTCH,Respiratory,Rhinovirus,,2024-09-13,2024-10-03,N
353,"Shepherd Terrace Retirement Residence - 2nd, 3rd & 4th Fl",3758 Sheppard Ave E,Retirement Home,Respiratory,COVID-19,,2024-09-13,2024-10-02,N
354,Sinai Health System - Hennick Bridgepoint Hospital - 2N,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,COVID-19,,2024-09-13,2024-09-26,N
355,Cummer Lodge - 3 North,205 Cummer Ave,LTCH,Respiratory,COVID-19,,2024-09-12,2024-09-20,N
356,Rekai Centre Sherbourne Place - 3rd & 4th Fl,345 Sherbourne St,LTCH,Respiratory,COVID-19,,2024-09-12,2024-09-27,N
357,The Wexford - 7th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Parainfluenza,,2024-09-12,2024-10-07,N
358,Valleyview Residence - 3E & 4W,541 Finch Ave W,LTCH,Respiratory,COVID-19,,2024-09-12,2024-09-30,N
359,Castleview Wychwood Towers - 2 West,351 Christie St,LTCH,Respiratory,Parainfluenza,,2024-09-11,2024-09-25,N
360,Cedarbrook Transitional Care Unit - 5th Fl,520 Markham Rd,Retirement Home,Respiratory,COVID-19,,2024-09-11,2024-09-17,N
361,Deerwood Creek Community - 2B,70 Humberline Dr,LTCH,Respiratory,COVID-19,,2024-09-11,2024-10-03,N
362,Harold & Grace Baker Centre - C Wing,1 Northwestern Ave,LTCH,Respiratory,Parainfluenza,,2024-09-11,2024-10-02,N
363,Unity Health Toronto - St. Joseph's Health Centre - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,,2024-09-11,2024-10-08,N
364,Sunnybrook Health Sciences Centre - St. John's Rehabilitation Hospital - A1,285 Cummer Ave,Hospital-Chronic Care,Respiratory,COVID-19,,2024-09-10,2024-09-20,N
365,Sunnybrook Health Sciences Centre - Veterans Centre - LFSE,2075 Bayview Ave,LTCH,Respiratory,COVID-19,,2024-09-10,2024-09-17,N
366,Tyndall - McCall Centre for Continuing Care - 2nd Fl,140 Sherway Dr,LTCH,Respiratory,COVID-19,,2024-09-10,2024-09-19,N
367,Wesburn Manor - 4N & 4S,400 The West Mall,LTCH,Respiratory,COVID-19,,2024-09-10,2024-09-23,N
368,Baycrest Hospital - H7E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,,2024-09-09,2024-09-22,N
369,Chartwell Grenadier Retirement Residence - C Wing & A Wing 2nd Fl,2100 Bloor St W,Retirement Home,Respiratory,COVID-19,,2024-09-09,2024-09-30,N
370,Reactivation Care Centre - Finch Site - Southlake Hospital - 5 East,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,,2024-09-09,2024-09-16,N
371,"Shepherd Lodge - 2 North, 3 North & 3 South",3760 Sheppard Ave E,LTCH,Respiratory,Enterovirus/ Rhinovirus,,2024-09-09,2024-09-26,N
372,The O'Neill Centre - Willowvale 3rd Fl & High Park 5th Fl,33 Christie St,LTCH,Respiratory,COVID-19,,2024-09-09,2024-09-26,N
373,Downsview Long Term Care Centre,3595 Keele St,LTCH,Respiratory,Rhinovirus,,2024-09-08,2024-09-24,N
374,Hellenic Home - 2A,2241 Lawrence Ave E,LTCH,Respiratory,Unable to identify,,2024-09-08,2024-09-19,N
375,Amica Bayview Gardens - 6th & 8th Fl,19 Rean Dr,Retirement Home,Respiratory,COVID-19,,2024-09-06,2024-09-23,N
376,Baycrest Hospital - 4W,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,,2024-09-06,2024-09-18,N
377,Chester Village - 2W Topaz,3555 Danforth Ave,LTCH,Respiratory,COVID-19,,2024-09-06,2024-09-24,N
378,"Elm Grove Living Centre - 1st, 2nd & 3rd Fl",35 Elm Grove Ave,LTCH,Respiratory,COVID-19,,2024-09-06,2024-10-01,N
379,Parkland on Eglinton West - 3rd Fl,4650 Eglinton Ave W,Retirement Home,Respiratory,COVID-19,,2024-09-06,2024-09-20,N
380,Cummer Lodge - 4 South,205 Cummer Ave,LTCH,Respiratory,Unable to identify,,2024-09-05,2024-09-25,N
381,"Kipling Acres - 1st Fl Pine Point, 2nd Fl Akrow & 3rd Fl North-Smithfield",2233 Kipling Ave,LTCH,Respiratory,COVID-19,,2024-09-05,2024-09-23,N
382,Unity Health Toronto - St. Michael's Hospital - 9CG,30 Bond St,Hospital-Acute Care,Other,CPE Escherichia coli (OXA-48),,2024-09-05,2024-09-19,N
383,Weston Gardens Transitional Care Unit - 3rd Fl,303 Queens Dr,Retirement Home,Respiratory,COVID-19,,2024-09-05,2024-09-18,N
384,Yee Hong Centre - Scarborough McNicoll - 4th & 5th Fl,2311 McNicoll Ave,LTCH,Respiratory,COVID-19,,2024-09-05,2024-09-25,N
385,Village of Humber Heights - 2nd Fl,2245 Lawrence Ave W,Retirement Home,Respiratory,Unable to identify,,2024-09-04,2024-09-06,N
386,Deerwood Creek Community - 1A,70 Humberline Dr,LTCH,Respiratory,COVID-19,,2024-09-03,2024-10-11,N
387,Seven Oaks - 1st Fl,9 Neilson Rd,LTCH,Respiratory,COVID-19,,2024-09-03,2024-09-20,N
388,Unity Health Toronto - Houses of Providence - 1 East Redwood,3276 St. Clair Ave E,LTCH,Respiratory,COVID-19,,2024-09-01,2024-09-24,N
389,Centre For Addiction And Mental Health - CCC3,1001 Queen St W,Hospital-Psychiatric,Respiratory,COVID-19,,2024-08-30,2024-09-07,N
